feature,category,neutralization,horizon,ic_spearman,quintile_spread,quintile_spread_after_cost,hit_ratio,leakage_risk,rolling_ic_last,bootstrap_survival,ic_in_sample,ic_out_of_sample,spread_tail_high_signal_days,spread_tail_low_signal_days,ic_regime_on,ic_regime_off,note
liq_reversal_after_extreme,C_liquidity,momentum,20,0.01707679739084217,-0.001644020071556701,-0.002644020071556701,0.5043409629044988,LOW,,,,,,,,,
breadth_pct_above_sma50,B_breadth,market_ts,1,-0.0337738300494322,-0.00022314136653628542,-0.0012231413665362853,0.5528571428571428,LOW,,,,,,,,,market-level time-series IC vs EW forward return
breadth_pct_above_sma50,B_breadth,market_ts,5,-0.08968879542789092,-0.001235777779772775,-0.002235777779772775,0.6336206896551724,LOW,,,,,,,,,market-level time-series IC vs EW forward return
breadth_pct_above_sma50,B_breadth,market_ts,10,-0.10582443923977995,-0.0036788762266826546,-0.004678876226682655,0.6859623733719248,LOW,,,,,,,,,market-level time-series IC vs EW forward return
breadth_pct_above_sma50,B_breadth,market_ts,20,-0.10129983125200757,-0.010132918678018927,-0.011132918678018928,0.73568281938326,LOW,,,,,,,,,market-level time-series IC vs EW forward return
breadth_pct_above_sma200,B_breadth,market_ts,1,-0.06232121857689994,-0.001846730480646951,-0.002846730480646951,0.5418181818181819,LOW,,,,,,,,,market-level time-series IC vs EW forward return
breadth_pct_above_sma200,B_breadth,market_ts,5,-0.1754963414661204,-0.00851356107645502,-0.00951356107645502,0.6227106227106227,LOW,,,,,,,,,market-level time-series IC vs EW forward return
breadth_pct_above_sma200,B_breadth,market_ts,10,-0.21875639277916648,-0.01262431581551751,-0.013624315815517509,0.66728280961183,LOW,,,,,,,,,market-level time-series IC vs EW forward return
breadth_pct_above_sma200,B_breadth,market_ts,20,-0.2877129498949351,-0.021512115296128186,-0.022512115296128187,0.71939736346516,LOW,,,,,,,,,market-level time-series IC vs EW forward return
breadth_new_highs_lows,B_breadth,market_ts,1,-0.036562169374116806,-0.0013406208412495419,-0.002340620841249542,0.5246575342465754,LOW,,,,,,,,,market-level time-series IC vs EW forward return
breadth_new_highs_lows,B_breadth,market_ts,5,-0.06664861663112655,-0.0034887090571533493,-0.004488709057153349,0.5344352617079889,LOW,,,,,,,,,market-level time-series IC vs EW forward return
breadth_new_highs_lows,B_breadth,market_ts,10,-0.06660775978945994,-0.006838513299884516,-0.007838513299884515,0.5603328710124826,LOW,,,,,,,,,market-level time-series IC vs EW forward return
breadth_new_highs_lows,B_breadth,market_ts,20,-0.03557510018396204,-0.007983285449578341,-0.00898328544957834,0.559774964838256,LOW,,,,,,,,,market-level time-series IC vs EW forward return
breadth_cross_dispersion,B_breadth,market_ts,1,-0.006983059573851548,-0.00033314286512196704,-0.001333142865121967,0.553475935828877,LOW,,,,,,,,,market-level time-series IC vs EW forward return
breadth_cross_dispersion,B_breadth,market_ts,5,-0.0021607165907567114,0.0004671848411065497,-0.0005328151588934503,0.6370967741935484,LOW,,,,,,,,,market-level time-series IC vs EW forward return
breadth_cross_dispersion,B_breadth,market_ts,10,-0.004970817875534203,0.0019584630948530453,0.0009584630948530452,0.6860622462787551,LOW,,,,,,,,,market-level time-series IC vs EW forward return
breadth_cross_dispersion,B_breadth,market_ts,20,-0.052578412624074734,-0.0030141239559500384,-0.004014123955950038,0.7379972565157751,LOW,,,,,,,,,market-level time-series IC vs EW forward return
breadth_narrow_leadership,B_breadth,market_ts,1,0.03400142339848388,0.0008947405117311562,-0.00010525948826884378,0.517379679144385,LOW,,,,,,,,,market-level time-series IC vs EW forward return
breadth_narrow_leadership,B_breadth,market_ts,5,0.006754650534963404,0.0014496533093502138,0.0004496533093502138,0.5255376344086021,LOW,,,,,,,,,market-level time-series IC vs EW forward return
breadth_narrow_leadership,B_breadth,market_ts,10,-0.019085249148947624,0.0005576275179045506,-0.0004423724820954494,0.510148849797023,LOW,,,,,,,,,market-level time-series IC vs EW forward return
breadth_narrow_leadership,B_breadth,market_ts,20,-0.02168574984404513,0.0007188998681559051,-0.00028110013184409494,0.5116598079561042,LOW,,,,,,,,,market-level time-series IC vs EW forward return
