signal,target,ic_1d,ic_5d,ic_20d,ic_20d_neutral_spy,ic_rolling_60d_mean,quintile_spread_20d,quintile_spread_20d_neutral,leakage_risk
macro_rates_change,IWM,0.04037889214093291,-0.06645803917461333,0.009552163040273074,0.002725010742158225,0.028021577598804616,0.00237170690750756,0.003148458264561553,MEDIUM
macro_rates_change,XLK,-0.028891125453239516,-0.1299814151857786,-0.09411213924588326,-0.09379353072257254,-0.12319894582482888,-0.026848574493064103,-0.019965040554547356,MEDIUM
macro_rates_change,XLF,0.06315149305433601,-0.0341722009150665,0.012077355633930368,0.0006655141746525038,0.01579169860028187,0.003940112663470655,0.0050657857110895125,MEDIUM
macro_rates_change,XLE,-0.02490703036825367,-0.0075760157275107844,-0.07588968196783119,-0.08177130694592949,-0.08200196304501059,-0.007984524882323742,-0.008686627453575901,MEDIUM
macro_dollar_change,SPY,-0.02656236416410444,-0.05426468335169433,-0.07359787752584286,-0.07776623065162433,-0.06613125800538311,-0.004808908591878484,-0.004786554887760808,MEDIUM
macro_dollar_change,QQQ,-0.04590784051121551,-0.04193619404084037,-0.05583607721107115,-0.058241483716886686,-0.03691771871357479,-0.0023553107276841623,-0.0009810586488111263,MEDIUM
macro_dollar_change,IWM,0.05074322615639607,0.00237334158336126,-0.019045882196370725,-0.027122200793420804,0.013312839517924058,-0.007922598923573079,-0.006401504242986963,MEDIUM
macro_dollar_change,XLK,-0.05170188502536003,-0.06302820377880465,-0.07294684301544462,-0.07378813466169698,-0.05497114724544624,-0.004721052905282519,-0.0020957177741310756,MEDIUM
macro_dollar_change,XLF,0.019933983481825544,-0.052326275406912856,-0.0395782015903123,-0.05241973359447605,-0.07353856823605305,-0.004089671580416454,-0.0071702674275622704,MEDIUM
macro_dollar_change,XLE,0.04008825805473966,-0.07757720898804882,-0.024142238302327895,-0.030148991236397436,-0.009018804089249374,-0.008199748342243875,-0.0045421321713866175,MEDIUM
macro_inflation_change,SPY,-0.0033224251107113146,0.12948145627094387,0.03377437847810634,0.02848120871763613,-0.034091060416658436,0.006440871828475556,0.005110225242353918,MEDIUM
macro_inflation_change,QQQ,0.012482106463175553,0.12913863519215601,0.06378550037026197,0.056856494758826065,0.02885471063854463,0.014254570298573434,0.010954497469856283,MEDIUM
macro_inflation_change,IWM,-0.049835589915438676,0.09368350097149603,-0.02733407346046099,-0.023683710891049536,-0.07913790695038302,-0.0034197584242695277,-0.0044045541997488995,MEDIUM
macro_inflation_change,XLK,0.03912956081135164,0.1234651528569395,0.0719625393088798,0.061824867846472085,0.04642118040851037,0.021226187450798517,0.01526710707130259,MEDIUM
macro_inflation_change,XLF,-0.055070242636392215,0.05153798622769703,-0.04395995319414344,-0.03558102585112868,-0.06314509370221796,-0.0002791692320572893,-0.0019867166494985967,MEDIUM
macro_inflation_change,XLE,0.005784942235156855,0.006005564440451962,0.04389999690228018,0.06376744976167399,0.07420774350922171,0.00022637254872124452,0.004439722344328531,MEDIUM
macro_volatility_change,SPY,-0.02025078241659337,-0.058800788074792755,-0.029175701737731465,-0.03708692654362316,0.05508425543043004,0.0047492359955365274,0.003145099667957991,MEDIUM
macro_volatility_change,QQQ,0.0009377984708849765,-0.05920060799061579,-0.022014929101755724,-0.03290298082399849,0.05237402546458985,0.006675308960293738,0.00411002142495134,MEDIUM
macro_volatility_change,IWM,0.08848899581609708,-0.007940225270436042,-0.008995433333666427,-0.0104743537217831,0.08048216007714563,0.009538341142633244,0.007601081832988972,MEDIUM
macro_volatility_change,XLK,-0.000915769647743383,-0.07376925269196932,-0.031113287300270808,-0.04514004776513146,0.03822401647516468,0.009876019551401154,0.00642774585907413,MEDIUM
macro_volatility_change,XLF,0.03299054884070314,-0.01882044864090141,-0.019028109480079547,-0.007034864548879319,0.04555546475328114,0.009338009455367979,0.010108656236963318,MEDIUM
macro_volatility_change,XLE,-0.09843351341913464,-0.024553403632248286,0.039300310773135616,0.05321115585622496,0.010570256443783408,-0.009638605636730663,-0.005859108622539855,MEDIUM
macro_regime_state,SPY,-0.021233662422026636,0.020814648729446942,0.004832010095167989,0.005514222619485778,0.05817764193757527,-0.00039508143710697066,-0.00039508143710697066,MEDIUM
macro_regime_state,QQQ,-0.03510054400375832,0.021243860773008758,0.007270361217729639,0.00779615121720385,0.053754931925534884,0.0003292730517872912,0.0003292730517872912,MEDIUM
macro_regime_state,IWM,0.05834802268352913,0.02321375186846039,0.010798412114201586,0.01072743046427257,0.05283504677225156,-0.0010654121119903007,-0.0010654121119903007,MEDIUM
macro_regime_state,XLK,-0.06510529251972051,-0.01816463805253043,-0.019109837530890163,-0.018701035806298966,-0.0032594239140501997,-0.002783327524633783,-0.002783327524633783,MEDIUM
macro_regime_state,XLF,0.05847257212443429,-0.0784465086483024,-0.000343077974656922,0.00031810294968189704,0.006857460405668244,-0.003763084469178263,-0.003763084469178263,MEDIUM
macro_regime_state,XLE,-0.09929774541453906,-0.0068994234465086495,-0.024746306325253695,-0.023986539776013463,-0.005222932296008154,0.003970247782320208,0.003970247782320208,MEDIUM
flow_abnormal_vol_SPY,SPY,0.08477533478482785,0.07445219809494108,0.030363689784238836,0.0370025932218546,0.15778396045685206,-0.002400070699602092,-0.0018013316979060313,LOW
flow_abnormal_vol_SPY,QQQ,0.07595393025429097,0.04632801840084207,0.024778681927926316,0.029334065737535296,0.17159956713122068,-0.012905853295281745,-0.011779925680974856,LOW
flow_abnormal_vol_SPY,IWM,0.06169509245263943,-0.04626668226060063,0.09439327550746668,0.10026570943140738,0.11466562349190568,0.013988555006335442,0.016185263933945884,LOW
flow_abnormal_vol_SPY,XLK,0.04925793780929531,0.040055098566657565,0.037864871424739086,0.04047725501718169,0.17607632237024906,-0.018553420231403956,-0.01758655701833364,LOW
flow_abnormal_vol_SPY,XLF,0.08090020956265784,-0.01221992644861149,0.08844291718296905,0.1020528608474598,0.04384953422734386,0.00676490519154453,0.008466744934066265,LOW
flow_abnormal_vol_SPY,XLE,-0.10296958318728862,0.08736397541356412,-0.02297747857078985,-0.015257853118892196,-0.06916029306386279,0.004302822744186752,0.004258520169258935,LOW
flow_dv_zscore_SPY,SPY,0.09302567567234359,0.09800839473444829,0.046113360841072544,0.04866187197404224,0.16166588672292015,0.002713470830729224,-0.00015467151977953744,LOW
flow_dv_zscore_SPY,QQQ,0.08291518619978844,0.07393343989188206,0.03185191808995798,0.03329032587728823,0.1613938813413083,-0.005505567816884861,-0.010602800257837854,LOW
