signal,target,horizon,ic_spearman,pearson,quintile_spread,quantile_means,hit_ratio,n_obs,ic_neutral
volume_zscore_20d,XLK,10,0.08199402335073652,0.08302722518133088,0.01123837864825458,"{1: 0.004373840080197897, 2: 0.009000572533749609, 3: 0.010052001910740068, 4: 0.014140909840237088, 5: 0.015612218728452478}",0.554140127388535,471,0.08600371689078301
volume_zscore_20d,XLK,20,0.033184065769183195,0.011755787784231662,0.003647131208704888,"{1: 0.018439075347207647, 2: 0.02586754726890828, 3: 0.015101851819686828, 4: 0.014448631288102852, 5: 0.022086206555912535}",0.5119305856832972,461,0.07090170920304341
dollar_volume_zscore,XLK,1,-0.01946416868128768,0.02415884324999629,0.00017319635646451353,"{1: 0.0017132132604564011, 2: 0.0001192882540157203, 3: 0.0009118302217731253, 4: 0.0003872809544003518, 5: 0.0018864096169209147}",0.48333333333333334,480,-0.017953194821375165
dollar_volume_zscore,XLK,5,0.007252203761345651,0.032942468002126156,0.0030700834728899246,"{1: 0.0031510322241408914, 2: 0.009958610911484792, 3: 0.0031337958095381297, 4: 0.004310365392248773, 5: 0.006221115697030816}",0.5126050420168067,476,-0.00495295337632458
dollar_volume_zscore,XLK,10,0.09546720997057614,0.09252529546016812,0.012678431938260721,"{1: 0.0034836127470173044, 2: 0.009520872220824298, 3: 0.010631593892468122, 4: 0.013390890051333863, 5: 0.016162044685278026}",0.554140127388535,471,0.08535094000464202
dollar_volume_zscore,XLK,20,0.04198395210372953,0.01337762544268743,0.006689288278668309,"{1: 0.016163734662759655, 2: 0.02810593175791602, 3: 0.015931663509342008, 4: 0.012913691372333889, 5: 0.022853022941427964}",0.5075921908893709,461,0.07160916965668022
return_3d_extension,XLK,1,0.02014127777417191,-0.024528569139211504,0.002157158794831841,"{1: 0.002091323435077461, 2: 0.0013021658788366806, 3: -0.0011712693633065582, 4: -0.0008805218732012761, 5: 0.004248482229909302}",0.5181451612903226,496,-0.028878415488719375
return_3d_extension,XLK,5,-0.02104954938660899,-0.05411569870055245,-0.0011251266445178043,"{1: 0.011214429689636969, 2: 0.0020409350162118004, 3: 0.0023277668416275712, 4: 0.0035521442134364813, 5: 0.010089303045119164}",0.5060975609756098,492,-0.13820993520738478
return_3d_extension,XLK,10,-0.019559550124736782,-0.016084697874020018,-0.0029320305893743015,"{1: 0.02078792184613472, 2: 0.005036835251543947, 3: 0.007948464578568029, 4: 0.006416429523977493, 5: 0.017855891256760417}",0.5133470225872689,487,-0.1535436718206016
return_3d_extension,XLK,20,0.01587353185530942,0.0018928027739708955,-0.0023228059909590273,"{1: 0.03649094304882472, 2: 0.008177528772812241, 3: 0.011879791841402301, 4: 0.012264057643604947, 5: 0.03416813705786569}",0.5220125786163522,477,-0.1412496495802711
