etf,event,n,mean,median,std,volatility_ann,p05,p25,p75,p95,skewness,kurtosis,left_tail_freq,prob_correction_gt_5pct,prob_continued_rally_gt_2pct,mean_max_drawdown,drawdown_prob_gt_3pct,horizon,event_count,comparison,mean_diff,left_tail_diff,correction_prob_diff
QQQ,C_participation_recovery,116.0,0.019555273383341586,0.020937115889052116,0.06158672886461012,0.2186112009258945,-0.09188509885358737,-0.010127468245693494,0.056843806145791376,0.11612113145912928,-0.29120394031727287,0.5443062842976509,0.10344827586206896,0.12931034482758622,0.5086206896551724,-0.0462547783614202,0.5431034482758621,20,116.0,,,,
QQQ,C_participation_recovery,,,,,,,,,,,,,,,,,20,,vs_unconditional,0.0025825522264200373,0.003167489660705139,0.01900148000608602
XLK,A_narrow_rally,50.0,0.008326208875390744,0.008421773235984475,0.02639438191662413,0.09369076154661006,-0.03626855329610068,-0.004404639368542018,0.022359521496762236,0.04672179291919464,0.4398384145232784,1.828759021917067,0.1,0.02,0.36,-0.010541199824213563,0.12,5,50.0,,,,
XLK,A_narrow_rally,49.0,0.012051067686274414,0.010726546447668905,0.03337395782716546,0.11846579830998766,-0.04558343678810192,-0.0034111179399854974,0.032767390939411056,0.07453993333005102,0.01962848277833975,0.18949997932160123,0.10204081632653061,0.061224489795918366,0.3469387755102041,-0.021865690957986298,0.2653061224489796,10,50.0,,,,
XLK,A_narrow_rally,48.0,0.006086203665953732,0.013859471466591389,0.0456289599437862,0.16196674046837745,-0.08138684989871751,-0.01949227230355996,0.039095970674902225,0.06920275740613234,-0.6537095980539096,-0.19893215107833262,0.10416666666666667,0.14583333333333334,0.375,-0.04791368355073319,0.6041666666666666,20,50.0,,,,
XLK,A_narrow_rally,,,,,,,,,,,,,,,,,20,,vs_unconditional,-0.01301321738409364,0.003885880465302846,0.02830425190533495
XLK,B_passive_dominance,11.0,0.012304217101401565,0.011954440552869317,0.02810604834465032,0.09976657463676372,-0.029822086974881368,0.0006824184905142028,0.026504530642251667,0.05254576180900794,0.04659116837732536,-0.11886025552638557,0.09090909090909091,0.0,0.2727272727272727,-0.010172844010500509,0.18181818181818182,5,11.0,,,,
XLK,B_passive_dominance,11.0,0.02037877428714123,0.009044659281382206,0.02973908372301099,0.10556327518896731,-0.01135029624575462,0.0007864181882099031,0.04137006356666961,0.06626571937756542,0.7756093871138403,-0.14239489783562753,0.09090909090909091,0.0,0.36363636363636365,-0.0195340352874501,0.18181818181818182,10,11.0,,,,
XLK,B_passive_dominance,11.0,0.032786094130646794,0.03672200638702772,0.03547634920263256,0.125928547377526,-0.01813895150641387,0.006908389609263099,0.057917608841463575,0.07721067671242221,-0.4272568572236584,-0.33213151299538524,0.09090909090909091,0.0,0.6363636363636364,-0.029717673089927007,0.2727272727272727,20,11.0,,,,
XLK,B_passive_dominance,,,,,,,,,,,,,,,,,20,,vs_unconditional,0.013686673080599423,-0.009371695292272914,-0.1175290814279984
