signal,target,horizon,ic_spearman,pearson,quintile_spread,quantile_means,hit_ratio,n_obs,ic_neutral
breadth_divergence,QQQ,5,0.03171106796468866,0.05492253910665096,0.0040352025101896075,"{1: -0.0010121283418454985, 2: 0.009011309298260212, 3: 0.004161396503430805, 4: 0.00660079068467822, 5: 0.003023074168344109}",0.4356223175965665,466,-0.050024364238775626
breadth_divergence,QQQ,10,0.00913414658400486,0.03640323730129198,0.004007988606656952,"{1: 0.005626402345018455, 2: 0.015202337783602823, 3: 0.0018276374052021488, 4: 0.011634424416713121, 5: 0.009634390951675407}",0.4164859002169197,461,-0.07613073201308496
breadth_divergence,QQQ,20,-0.03046602887651615,0.06876251384235643,0.009594903581867199,"{1: 0.019205463876638365, 2: 0.019150609844219228, 3: 0.00209012451495287, 4: 0.01918056680610724, 5: 0.028800367458505564}",0.42572062084257206,451,-0.12320305521082513
pct_above_sma20,XLK,1,-0.021542953281008866,-0.019198991060744554,0.001485697269298797,"{1: 0.002105636864539588, 2: 0.0012540925163040811, 3: -0.0011043451238467287, 4: -0.0008286944696360836, 5: 0.003591334133838385}",0.5729166666666666,480,-0.020928931030674402
pct_above_sma20,XLK,5,-0.03863969611121226,-0.061784759537961566,-0.00269842905596907,"{1: 0.015573383811889378, 2: 0.00039608537295725553, 3: -0.0038981884258663664, 4: 0.0016979233434883838, 5: 0.012874954755920308}",0.5525210084033614,476,-0.05940601248971294
pct_above_sma20,XLK,10,-0.0037459536079852505,-0.06305865057652908,0.0007562973916574456,"{1: 0.02595706809695682, 2: 0.0017323998168748977, 3: -0.003231770529423053, 4: 0.0017788653627102112, 5: 0.026713365488614266}",0.5583864118895966,471,-0.05801003132525758
pct_above_sma20,XLK,20,0.018411049347959414,-0.05863346667090223,0.003740785375290899,"{1: 0.033167769270652195, 2: 0.019551297279313068, 3: -0.004500945170289872, 4: 0.010656536639736047, 5: 0.036908554645943094}",0.5856832971800434,461,-0.075267058573274
pct_above_sma50,XLK,1,-0.03924943353771853,-0.012836622166184166,-9.038609774953592e-05,"{1: 0.0011903310485340164, 2: 0.0030700038458049187, 3: -0.00040393747942244114, 4: 0.0013629035034973555, 5: 0.0010999449507844805}",0.5866666666666667,450,-0.020282776630912387
pct_above_sma50,XLK,5,-0.04516860506694604,-0.06387866425238578,-0.003580301152612054,"{1: 0.010442850752268933, 2: 0.00641047247768681, 3: 0.00552319807724329, 4: 0.005544145494827248, 5: 0.006862549599656879}",0.57847533632287,446,-0.024268038316688948
pct_above_sma50,XLK,10,-0.007681281314219765,-0.08114895561170216,-0.011030449698785631,"{1: 0.02853666272710376, 2: 0.0028603853745055963, 3: 0.003450910981398518, 4: 0.014875298258234027, 5: 0.01750621302831813}",0.5736961451247166,441,-0.00606834486673732
