Date,SPY,QQQ,IWM,XLK,XLF,XLE,portfolio
2025-08-21 00:00:00-04:00,50886.67570074465,50828.06342288869,0.0,0.0,0.0,0.0,101694.15646533825
2025-08-22 00:00:00-04:00,51601.994024188345,51657.54314784104,0.0,0.0,0.0,0.0,103259.51089042456
2025-08-25 00:00:00-04:00,51382.516879810144,0.0,51095.824204479686,0.0,0.0,0.0,102457.58064583369
2025-08-26 00:00:00-04:00,51505.97898718119,0.0,51588.93596459923,0.0,0.0,0.0,103094.87823129959
2025-08-27 00:00:00-04:00,51628.90916307085,0.0,51948.82611101654,0.0,0.0,0.0,103577.7330101882
2025-08-28 00:00:00-04:00,0.0,0.0,51763.35095195373,0.0,51866.07353091985,0.0,103608.53006528076
2025-08-29 00:00:00-04:00,0.0,0.0,51541.224658707535,0.0,51971.95595337377,0.0,103513.1689704577
2025-09-02 00:00:00-04:00,0.0,0.0,51690.45442416379,0.0,0.0,51458.24088436276,103127.90385479233
2025-09-03 00:00:00-04:00,0.0,0.0,51377.63734046021,0.0,0.0,50541.378653116575,101918.91031181689
2025-09-04 00:00:00-04:00,0.0,0.0,51537.973716449436,0.0,0.0,51358.08059264223,102895.86160604273
2025-09-05 00:00:00-04:00,0.0,0.0,51371.37531280023,0.0,0.0,50784.887105129455,102156.09124748084
2025-09-08 00:00:00-04:00,0.0,0.0,51186.41847597004,0.0,0.0,50955.69637688033,102141.99807840154
2025-09-09 00:00:00-04:00,0.0,0.0,50944.91628627696,0.0,0.0,51141.5915908574,102086.4838172664
2025-09-10 00:00:00-04:00,0.0,0.0,50961.38035018997,0.0,0.0,51926.12244643701,102887.45955750627
2025-09-11 00:00:00-04:00,0.0,0.0,52137.28023791336,0.0,0.0,51705.61308520998,103842.80047021208
2025-09-12 00:00:00-04:00,0.0,0.0,51561.3781071499,0.0,0.0,51441.20320544828,103002.56371163283
2025-09-15 00:00:00-04:00,0.0,0.0,51672.813251176085,0.0,0.0,51373.41650338107,103046.1865633819
2025-09-16 00:00:00-04:00,0.0,0.0,51575.60778293781,0.0,0.0,52246.71312104816,103822.31601032082
2025-09-17 00:00:00-04:00,0.0,0.0,51949.809368525144,0.0,0.0,52125.83233263384,104075.54400712189
2025-09-18 00:00:00-04:00,0.0,0.0,53145.550357563545,0.0,0.0,52059.66874091084,105205.18014218402
2025-09-19 00:00:00-04:00,0.0,0.0,52103.216233454,0.0,0.0,52006.20869099977,104109.16432002159
2025-09-22 00:00:00-04:00,0.0,0.0,52343.59369210862,52703.13028851124,0.0,0.0,105025.78836070758
2025-09-23 00:00:00-04:00,0.0,0.0,52291.993290918246,52161.33524143118,0.0,0.0,104453.29330982662
2025-09-24 00:00:00-04:00,0.0,51978.422055587536,0.0,51841.229764842545,0.0,0.0,103798.58701533652
2025-09-25 00:00:00-04:00,0.0,0.0,51539.80670789187,51874.39076673612,0.0,0.0,103393.44567863384
2025-09-26 00:00:00-04:00,0.0,51880.472184714024,0.0,51860.68425126276,0.0,0.0,103720.29414768354
2025-09-29 00:00:00-04:00,0.0,52112.533611201994,0.0,52125.152065857335,0.0,0.0,104237.67728094605
2025-09-30 00:00:00-04:00,0.0,52274.69727412644,0.0,52390.17300852891,0.0,0.0,104664.86248607609
2025-10-01 00:00:00-04:00,0.0,52589.29641991443,0.0,52839.00273331251,0.0,0.0,105428.27371696143
2025-10-02 00:00:00-04:00,0.0,53009.71468417556,0.0,52920.91685383668,0.0,0.0,105930.54915345357
2025-10-03 00:00:00-04:00,0.0,52732.327626423306,0.0,52708.71438811467,0.0,0.0,105441.0201302412
2025-10-06 00:00:00-04:00,0.0,53241.432746139166,0.0,53128.96741258294,0.0,0.0,106370.35457351143
2025-10-07 00:00:00-04:00,0.0,52983.96082747198,0.0,52751.44599556418,0.0,0.0,105735.39752569998
2025-10-08 00:00:00-04:00,0.0,53495.65198236405,0.0,53772.71631546344,0.0,0.0,107268.33024498567
2025-10-09 00:00:00-04:00,0.0,53555.43718399467,0.0,53557.450142776426,0.0,0.0,107112.83710004171
2025-10-10 00:00:00-04:00,0.0,51721.91501545256,0.0,51352.388249460964,0.0,0.0,103074.29254584358
2025-10-13 00:00:00-04:00,0.0,52772.72685056407,0.0,52649.69240215547,0.0,0.0,105422.40046287428
2025-10-14 00:00:00-04:00,0.0,52307.582162735154,0.0,52087.044928105955,0.0,0.0,104394.58146446233
2025-10-15 00:00:00-04:00,0.0,0.0,52797.89876067016,52610.90105372747,0.0,0.0,105387.48603233224
2025-10-16 00:00:00-04:00,0.0,0.0,51703.98850086081,52610.67184993653,0.0,0.0,104314.64443689016
