Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-11-04,561.1242574334378,562.4210257711015,557.8922001113365,559.7783813476562,38217000,0.0,0.0,0.0
2024-11-05,560.6920242782184,566.5863933486033,560.4759261934032,566.547119140625,39478300,0.0,0.0,0.0
2024-11-06,578.8270705681771,581.5089893813079,575.0841485043231,580.6346435546875,68182000,0.0,0.0,0.0
2024-11-07,582.6386570968723,586.1458133207747,582.5600487330294,585.1240844726562,47233200,0.0,0.0,0.0
2024-11-08,585.674234913322,589.0831757216504,585.674234913322,587.65869140625,46444900,0.0,0.0,0.0
2024-11-11,589.2501303160354,589.6037779981073,586.4896037587446,588.2186279296875,37586800,0.0,0.0,0.0
2024-11-12,588.1400498376755,588.739296212128,583.9059310932324,586.3914184570312,43006100,0.0,0.0,0.0
2024-11-13,586.8531544283672,588.6803942959151,584.4856094336134,586.6763305664062,47388600,0.0,0.0,0.0
2024-11-14,586.804069200042,587.2854330583992,582.2163022724781,582.9039306640625,38904100,0.0,0.0,0.0
2024-11-15,579.3378226480269,579.8094129170865,573.5810036102117,575.437744140625,75988800,0.0,0.0,0.0
2024-11-18,575.8993966406199,579.1118465214918,575.0349444617987,577.7954711914062,37001700,0.0,0.0,0.0
2024-11-19,574.4160398519082,580.6345552744816,573.7480186357969,579.9075927734375,49412000,0.0,0.0,0.0
2024-11-20,579.9862433981077,580.3889988810581,574.3374733314436,580.1041259765625,50032600,0.0,0.0,0.0
2024-11-21,582.953055915256,584.6427460672937,577.1077952881657,583.21826171875,46750300,0.0,0.0,0.0
2024-11-22,583.2084735757152,585.654687007179,582.7075025920674,585.0259399414062,38226400,0.0,0.0,0.0
2024-11-25,588.965270737662,590.2816460152659,584.7213185752529,587.0103149414062,42441400,0.0,0.0,0.0
2024-11-26,588.2579731618996,590.7434606979054,587.5408441710033,590.075439453125,45621300,0.0,0.0,0.0
2024-11-27,589.8887226529953,590.2718110026187,586.7647148108081,588.2874145507812,34000200,0.0,0.0,0.0
2024-11-29,589.1028202958577,592.7278593888155,588.8277809402925,591.9419555664062,30177400,0.0,0.0,0.0
2024-12-02,592.3545765627109,593.6808455477146,591.8633791521069,593.0029907226562,31746000,0.0,0.0,0.0
2024-12-03,592.7671496331845,593.5235527754064,591.735647195163,593.2779541015625,26906600,0.0,0.0,0.0
2024-12-04,594.9677449089698,597.2075737883222,594.2997236656325,596.9619750976562,42787600,0.0,0.0,0.0
2024-12-05,596.9620090763937,597.7675800229049,595.6259665136723,595.9796142578125,28762200,0.0,0.0,0.0
2024-12-06,596.7460157204997,598.3473243526508,596.3334266132642,597.1094970703125,31241500,0.0,0.0,0.0
2024-12-09,596.9915028268559,597.1584931551176,593.445071963169,594.0344848632812,34742700,0.0,0.0,0.0
2024-12-10,594.7123228135097,595.134745373381,591.529373321926,592.1875610351562,37234500,0.0,0.0,0.0
2024-12-11,595.115147903942,597.7184581352288,594.8400485801485,596.7655639648438,28677700,0.0,0.0,0.0
2024-12-12,595.901123418652,596.4708692968294,593.6907348632812,593.6907348632812,31543800,0.0,0.0,0.0
2024-12-13,595.7242008087076,596.4413297893211,592.1973772710232,593.57275390625,35904700,0.0,0.0,0.0
2024-12-16,595.3312295236393,597.0799209921157,594.5551592425911,596.1072998046875,43695200,0.0,0.0,0.0
2024-12-17,593.5530296358272,594.5157572113583,592.2759285750876,593.6512451171875,55773500,0.0,0.0,0.0
2024-12-18,593.3467745348553,595.7339866328443,575.5752867073982,575.9584350585938,108248700,0.0,0.0,0.0
2024-12-19,580.9490228826561,582.5601648792804,575.5360174904994,575.7816162109375,85919500,0.0,0.0,0.0
2024-12-20,573.4513839180992,587.231466902458,572.6036351958548,582.697265625,125716700,1.966,0.0,0.0
2024-12-23,582.440932357683,586.7878476994515,579.2570769218985,586.1865844726562,57635800,0.0,0.0,0.0
2024-12-24,587.5370230202848,592.7415539521577,586.9554328723399,592.7020874023438,33160100,0.0,0.0,0.0
2024-12-26,590.9279213446937,593.8652919269226,589.5282423631364,592.7416381835938,41219100,0.0,0.0,0.0
2024-12-27,588.9958066290322,589.2324254266508,582.31278453499,586.5020141601562,64969300,0.0,0.0,0.0
2024-12-30,579.4838439796579,583.2787692142718,576.0535631828352,579.80908203125,56578800,0.0,0.0,0.0
